Column1,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
1,Missouri,13,2516,4012,916,6528,7.13,502.2
2,Mississippi,12,1607,3941,804,5548,6.9,462.3
3,Auburn,14,3056,3267,1024,6323,6.17,451.6
4,Alabama,14,3509,2708,944,6217,6.59,444.1
5,Georgia,15,3876,2653,975,6529,6.7,435.3
6,Mississippi State,13,3272,2170,987,5442,5.51,418.6
7,LSU,13,2699,2645,863,5344,6.19,411.1
8,Texas A&M,13,2023,3266,955,5289,5.54,406.8
9,Arkansas,12,2016,2465,802,4481,5.59,373.4
10,Vanderbilt,12,1286,2923,751,4209,5.6,350.8
11,Kentucky,13,2102,2446,818,4548,5.56,349.8
12,South Carolina,13,1588,2794,802,4382,5.46,337.1
13,Florida,11,1720,1975,712,3695,5.19,335.9
14,Tennessee,12,1409,2084,732,3493,4.77,291.1
