Column1,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
1,Alabama,14,1326,2320,913,3646,3.99,260.4
2,Georgia,15,1890,2534,943,4424,4.69,294.9
3,Mississippi State,13,1711,2271,761,3982,5.23,306.3
4,LSU,13,1669,2439,811,4108,5.07,316
5,Auburn,14,1918,2553,957,4471,4.67,319.4
6,Florida,11,1693,2149,670,3842,5.73,349.3
7,South Carolina,13,1834,2938,924,4772,5.16,367.1
8,Vanderbilt,12,2382,2335,807,4717,5.85,393.1
9,Texas A&M,13,2221,3089,943,5310,5.63,408.5
10,Tennessee,12,3015,1940,834,4955,5.94,412.9
11,Missouri,13,2075,3308,962,5383,5.6,414.1
12,Kentucky,13,2279,3271,893,5550,6.22,426.9
13,Arkansas,12,2353,2906,815,5259,6.45,438.3
14,Mississippi,12,2944,2570,895,5514,6.16,459.5
