Column1,Conference,Conference2,Overall,Overall2,Overall3,Overall4,Overall5
WEST,W-L,W-L,PF,PA,HOME,AWAY,STREAK
Alabama,7-1,13-1,519,167,8-0,5-1,Won 2
Auburn,7-1,10-4,474,259,7-2,3-2,Lost 2
LSU,6-2,9-4,354,246,6-2,3-2,Lost 1
Mississippi State,4-4,9-4,416,272,6-2,3-2,Won 1
Texas A&M,4-4,7-6,425,399,5-4,2-2,Lost 2
Ole Miss,3-5,6-6,394,415,4-3,2-3,Won 1
Arkansas,1-7,4-8,345,434,3-4,1-4,Lost 3
EAST,W-L,W-L,PF,PA,HOME,AWAY,STREAK
Georgia,7-1,13-2,531,246,6-1,7-1,Lost 1
South Carolina,5-3,9-4,315,269,7-2,2-2,Won 1
Kentucky,4-4,7-6,332,367,4-4,3-2,Lost 3
Missouri,4-4,7-6,488,414,4-4,3-2,Lost 1
Florida,3-5,4-7,243,300,3-5,1-2,Lost 1
Vanderbilt,1-7,5-7,295,376,3-4,2-3,Won 1
Tennessee,0-8,4-8,238,349,3-4,1-4,Lost 3
